	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
49.3857	1229	1646	1100
49.4358	1104	1333	1081
49.486	1375	1479	1048
49.5361	1073	1531	1224
49.5862	1396	1417	1068
49.6363	1260	1271	1107
49.6864	1125	1448	918
49.7365	948	1448	1276
49.7866	1292	1385	1113
49.8367	1125	1625	996
49.8868	1146	1573	1068
49.9369	1125	1604	990
49.987	896	1615	1120
50.0371	1094	1542	931
50.0873	1177	1354	859
50.1374	802	1438	1120
50.1875	958	1344	1029
50.2376	1031	1771	1126
50.2877	1031	1438	833
50.3378	1052	1323	1100
50.3879	1052	1354	1087
50.438	1000	1438	1042
50.4881	1031	1479	1035
50.5382	1031	1417	1048
50.5883	917	1552	983
50.6385	885	1594	1094
50.6886	948	1563	905
50.7387	1021	1396	1042
50.7888	1031	1479	1029
50.8389	906	1667	1146
50.889	969	1625	1081
50.9391	938	1542	1087
50.9892	1156	1365	1009
51.0393	1010	1500	964
51.0894	990	1615	1172
51.1395	917	1667	983
51.1897	990	1490	1133
51.2398	1083	1635	1257
51.2899	792	1729	1048
51.34	990	1510	1100
51.3901	865	1750	1003
51.4402	917	1604	1087
51.4903	990	1781	1081
51.5404	948	1750	1146
51.5905	1167	1615	957
51.6406	781	1979	1283
51.6907	1010	1833	1387
51.7409	1073	1563	1107
51.791	854	2010	1165
51.8411	865	2010	1270
51.8912	1010	1865	1283
51.9413	1135	1917	1283
51.9914	1135	2115	1152
52.0415	1083	1927	1185
52.0916	792	2010	1426
52.1417	896	2031	1413
52.1918	1042	1885	1204
52.2419	1135	1958	1211
52.2921	1260	1875	1302
52.3422	1115	1781	1400
52.3923	1240	1656	1341
52.4424	1115	2250	1413
52.4925	1042	1990	1419
52.5426	1198	2365	1400
52.5927	1292	2698	1452
52.6428	1458	2563	1634
52.6929	1417	2625	1615
52.743	1406	2313	1758
52.7931	1198	2427	1803
52.8432	1344	2792	1842
52.8934	1427	2594	1784
52.9435	1333	3000	1849
52.9936	1615	2948	1901
53.0437	1635	3260	2246
53.0938	1719	3281	2129
53.1439	2083	3146	2201
53.194	2073	3583	2337
53.2441	2115	3969	2448
53.2942	2354	3552	2344
53.3443	2281	3948	2689
53.3944	2698	4417	2910
